Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Phosphorous,Potassium,Fertilizer Name
20,83,32,Loamy,Wheat,41,15,6,NPK 10-26-26
35,52,66,Red,Tobacco,7,25,52,Urea
27,68,28,Red,Soybean,60,46,39,NPK 10-26-26
40,43,35,Loamy,Cotton,41,22,57,NPK 17-17-17
32,58,45,Black,Soybean,30,18,34,DAP
18,55,66,Sandy,Rice,39,34,10,MOP
22,75,50,Red,Soybean,30,28,50,NPK 10-26-26
26,39,79,Red,Cotton,8,4,17,NPK 20-20-20
26,60,78,Clayey,Soybean,50,40,35,NPK 10-26-26
28,80,22,Black,Ground Nuts,60,6,9,NPK 10-26-26
22,46,42,Red,Tobacco,21,8,23,DAP
21,54,48,Loamy,Wheat,10,28,24,Urea
25,53,45,Red,Wheat,45,51,50,NPK 14-35-14
26,58,50,Black,Rice,37,8,47,DAP
28,62,18,Black,Rice,1,0,34,NPK 10-26-26
29,53,25,Loamy,Cotton,38,25,46,NPK 10-26-26
31,77,40,Black,Sugarcane,42,23,10,MOP
18,52,52,Black,Barley,13,51,60,Urea
23,39,42,Black,Ground Nuts,33,6,42,DAP
21,83,64,Red,Rice,50,37,18,MOP
19,60,80,Red,Tobacco,3,55,11,NPK 14-35-14
40,53,45,Sandy,Cotton,1,12,51,NPK 10-26-26
29,78,51,Loamy,Soybean,32,15,19,NPK 10-26-26
26,49,22,Red,Cotton,10,15,29,NPK 10-26-26
22,60,39,Sandy,Sugarcane,23,27,29,NPK 10-26-26
36,89,31,Loamy,Barley,54,41,5,MOP
29,64,63,Red,Soybean,1,35,11,NPK 10-26-26
27,61,15,Clayey,Pulses,58,58,60,NPK 17-17-17
25,88,78,Black,Wheat,44,12,51,DAP
32,75,73,Clayey,Maize,46,38,19,MOP
40,57,51,Clayey,Maize,44,48,52,NPK 17-17-17
26,75,18,Red,Cotton,53,27,60,NPK 17-17-17
40,81,41,Loamy,Rice,48,6,51,DAP
29,61,25,Red,Ground Nuts,54,27,19,MOP
34,78,32,Red,Wheat,46,11,15,NPK 10-26-26
20,83,44,Red,Barley,26,24,19,MOP
23,49,26,Loamy,Maize,42,20,47,NPK 17-17-17
30,44,40,Red,Pulses,51,30,41,NPK 17-17-17
21,61,65,Loamy,Ground Nuts,36,9,36,DAP
29,51,66,Loamy,Ground Nuts,51,30,0,MOP
35,83,19,Sandy,Barley,7,1,44,NPK 10-26-26
18,44,74,Loamy,Maize,4,32,14,NPK 10-26-26
26,76,78,Clayey,Barley,33,51,33,NPK 14-35-14
39,45,45,Sandy,Rice,8,17,6,NPK 20-20-20
31,39,62,Loamy,Cotton,52,1,18,NPK 10-26-26
40,80,35,Clayey,Ground Nuts,7,49,13,NPK 14-35-14
21,87,18,Clayey,Wheat,42,59,18,MOP
35,49,55,Red,Soybean,16,8,49,NPK 10-26-26
31,86,21,Loamy,Soybean,15,51,40,Urea
38,62,40,Clayey,Soybean,34,42,5,MOP
28,54,39,Black,Cotton,55,27,44,NPK 17-17-17
37,63,67,Sandy,Ground Nuts,2,4,17,NPK 20-20-20
28,55,36,Black,Wheat,57,40,7,MOP
40,61,73,Sandy,Millets,38,31,46,NPK 10-26-26
19,56,19,Loamy,Pulses,24,11,25,DAP
29,65,75,Red,Wheat,5,20,48,Urea
23,61,48,Clayey,Soybean,31,48,25,NPK 14-35-14
39,37,47,Sandy,Wheat,43,44,21,NPK 14-35-14
29,56,35,Red,Tobacco,22,12,27,DAP
21,55,23,Red,Millets,28,39,25,NPK 10-26-26
37,40,51,Black,Ground Nuts,59,9,36,DAP
19,69,69,Black,Ground Nuts,20,8,0,NPK 10-26-26
37,56,60,Loamy,Ground Nuts,27,35,41,NPK 10-26-26
31,76,36,Black,Millets,11,0,34,NPK 10-26-26
24,48,62,Clayey,Rice,0,37,13,NPK 10-26-26
22,66,40,Sandy,Sugarcane,24,24,50,NPK 10-26-26
20,40,54,Sandy,Cotton,1,40,43,Urea
33,68,44,Loamy,Barley,16,43,4,NPK 14-35-14
35,63,70,Clayey,Soybean,59,40,52,NPK 17-17-17
33,67,72,Sandy,Millets,30,36,12,MOP
29,51,16,Red,Wheat,15,0,17,NPK 20-20-20
31,56,36,Red,Ground Nuts,22,25,29,NPK 10-26-26
39,42,60,Red,Barley,46,48,47,NPK 14-35-14
19,57,30,Black,Rice,16,58,59,Urea
35,77,63,Loamy,Barley,54,9,32,DAP
39,76,52,Clayey,Barley,31,37,45,NPK 10-26-26
19,82,38,Clayey,Pulses,29,36,15,MOP
37,50,33,Red,Sugarcane,52,55,10,MOP
36,90,75,Clayey,Tobacco,54,51,54,NPK 17-17-17
23,78,64,Sandy,Millets,43,52,6,MOP
38,36,45,Loamy,Maize,16,18,0,NPK 20-20-20
20,41,46,Black,Wheat,4,56,20,Urea
18,41,62,Black,Millets,52,38,39,NPK 10-26-26
35,68,63,Red,Rice,36,14,27,DAP
27,79,78,Clayey,Tobacco,54,42,53,NPK 17-17-17
24,58,42,Clayey,Tobacco,31,58,60,NPK 10-26-26
20,89,66,Loamy,Wheat,40,2,28,DAP
32,65,67,Black,Millets,46,33,34,NPK 10-26-26
36,67,52,Red,Sugarcane,20,15,0,NPK 10-26-26
19,74,42,Loamy,Maize,1,51,30,Urea
35,58,69,Red,Rice,2,48,56,Urea
29,36,23,Sandy,Millets,31,10,41,DAP
37,65,36,Loamy,Wheat,48,40,44,NPK 17-17-17
26,40,64,Black,Rice,42,26,33,NPK 10-26-26
27,90,22,Black,Maize,1,6,56,NPK 10-26-26
19,90,57,Sandy,Wheat,38,29,29,NPK 10-26-26
25,78,52,Red,Millets,45,44,45,NPK 17-17-17
33,82,76,Sandy,Sugarcane,37,7,11,NPK 10-26-26
22,79,22,Red,Cotton,60,47,3,MOP
28,50,76,Loamy,Sugarcane,51,25,56,NPK 17-17-17
35,44,72,Clayey,Sugarcane,54,5,26,DAP
24,86,67,Red,Soybean,41,5,18,NPK 10-26-26
18,46,18,Sandy,Barley,33,35,25,NPK 10-26-26
19,55,17,Sandy,Sugarcane,59,0,44,DAP
34,62,70,Red,Soybean,50,7,36,DAP
30,71,59,Clayey,Millets,15,21,37,Urea
26,58,66,Red,Millets,29,12,10,NPK 10-26-26
27,68,19,Loamy,Sugarcane,20,51,51,NPK 14-35-14
24,68,28,Sandy,Tobacco,10,48,30,Urea
23,45,77,Loamy,Pulses,33,33,56,NPK 10-26-26
22,38,53,Clayey,Barley,32,12,46,DAP
25,82,34,Red,Rice,35,43,36,NPK 14-35-14
25,79,66,Black,Pulses,52,53,52,NPK 14-35-14
22,84,49,Red,Ground Nuts,56,41,3,MOP
27,85,46,Red,Wheat,43,5,47,DAP
30,55,50,Black,Soybean,38,60,51,NPK 14-35-14
34,40,20,Sandy,Soybean,57,40,7,MOP
22,35,16,Loamy,Wheat,6,41,31,Urea
28,61,17,Red,Cotton,60,0,25,DAP
23,42,51,Loamy,Rice,50,7,34,DAP
18,41,43,Red,Soybean,15,60,52,Urea
32,71,16,Clayey,Sugarcane,19,14,25,NPK 10-26-26
28,42,47,Clayey,Pulses,7,45,42,Urea
30,76,33,Sandy,Millets,54,42,54,NPK 17-17-17
40,60,30,Black,Wheat,60,39,23,NPK 10-26-26
25,71,76,Red,Rice,26,46,60,NPK 10-26-26
40,50,63,Red,Millets,39,7,60,DAP
24,70,25,Red,Soybean,18,57,4,NPK 14-35-14
33,59,75,Sandy,Wheat,11,49,4,NPK 14-35-14
20,84,26,Sandy,Soybean,43,50,56,NPK 17-17-17
30,74,72,Clayey,Millets,21,39,48,NPK 10-26-26
38,46,22,Loamy,Cotton,35,13,6,NPK 10-26-26
39,72,53,Red,Soybean,7,29,36,Urea
29,49,22,Loamy,Wheat,43,32,48,NPK 17-17-17
40,71,68,Loamy,Millets,8,4,13,NPK 20-20-20
19,74,68,Loamy,Wheat,37,0,31,DAP
26,60,28,Black,Maize,10,51,32,Urea
34,70,70,Sandy,Pulses,60,15,41,DAP
37,81,50,Red,Soybean,27,52,18,MOP
31,36,74,Clayey,Sugarcane,58,1,25,DAP
32,48,32,Black,Pulses,12,6,39,NPK 10-26-26
27,61,47,Sandy,Soybean,39,29,43,NPK 10-26-26
23,36,53,Red,Barley,0,32,21,Urea
37,65,46,Red,Barley,31,53,51,NPK 14-35-14
28,49,20,Black,Maize,0,5,49,NPK 10-26-26
32,76,47,Clayey,Millets,4,26,56,Urea
23,52,47,Red,Wheat,14,54,40,Urea
35,44,53,Clayey,Soybean,9,47,35,Urea
25,66,28,Clayey,Barley,59,13,54,DAP
32,76,77,Red,Rice,25,50,7,MOP
40,49,36,Sandy,Soybean,18,8,2,NPK 20-20-20
28,65,18,Black,Cotton,41,8,26,DAP
23,89,58,Loamy,Barley,59,31,28,NPK 10-26-26
29,42,21,Black,Soybean,6,43,30,Urea
35,49,17,Red,Sugarcane,9,39,12,NPK 10-26-26
18,80,32,Red,Cotton,13,36,10,NPK 10-26-26
31,54,47,Loamy,Millets,23,31,57,NPK 10-26-26
36,47,20,Loamy,Cotton,39,50,1,MOP
30,47,73,Clayey,Pulses,55,7,58,DAP
27,74,76,Clayey,Soybean,36,32,7,MOP
34,43,22,Loamy,Ground Nuts,47,29,27,NPK 10-26-26
31,73,65,Red,Rice,49,41,54,NPK 17-17-17
28,64,55,Loamy,Sugarcane,8,27,1,NPK 10-26-26
23,37,62,Sandy,Cotton,15,34,20,Urea
21,86,20,Loamy,Millets,56,25,2,MOP
29,52,46,Clayey,Cotton,8,49,0,NPK 14-35-14
26,65,53,Loamy,Rice,3,39,43,Urea
40,53,34,Clayey,Pulses,55,41,43,NPK 17-17-17
24,64,26,Loamy,Pulses,1,37,57,Urea
39,68,66,Clayey,Cotton,22,39,33,NPK 10-26-26
37,63,62,Sandy,Ground Nuts,16,50,27,Urea
38,86,63,Black,Pulses,20,6,60,DAP
37,75,76,Clayey,Rice,31,25,8,MOP
38,44,56,Clayey,Tobacco,47,34,9,MOP
20,54,25,Black,Barley,28,43,19,MOP
25,73,61,Loamy,Maize,12,58,21,Urea
39,52,28,Clayey,Sugarcane,26,29,34,NPK 10-26-26
27,89,48,Red,Millets,28,34,17,MOP
25,54,69,Clayey,Ground Nuts,56,31,59,NPK 17-17-17
38,66,34,Clayey,Millets,43,26,41,NPK 17-17-17
29,42,71,Sandy,Sugarcane,39,51,31,NPK 14-35-14
20,80,73,Red,Tobacco,3,24,24,Urea
38,63,59,Red,Sugarcane,15,20,36,Urea
25,82,43,Black,Cotton,30,56,35,NPK 14-35-14
40,78,32,Loamy,Cotton,35,8,54,DAP
21,71,42,Red,Maize,19,16,5,NPK 20-20-20
19,45,36,Sandy,Maize,30,20,57,NPK 10-26-26
38,84,76,Loamy,Barley,46,14,33,DAP
18,63,51,Black,Wheat,27,23,60,NPK 10-26-26
24,64,37,Red,Barley,47,29,26,NPK 10-26-26
20,49,45,Red,Ground Nuts,6,30,2,NPK 10-26-26
31,65,53,Loamy,Ground Nuts,2,0,41,NPK 10-26-26
27,50,32,Sandy,Ground Nuts,9,5,53,NPK 10-26-26
32,59,16,Clayey,Barley,43,22,59,NPK 17-17-17
30,51,20,Black,Soybean,47,2,1,NPK 10-26-26
32,69,18,Loamy,Barley,31,59,39,NPK 14-35-14
28,88,22,Red,Maize,38,43,41,NPK 14-35-14
19,61,66,Clayey,Sugarcane,56,2,59,DAP
31,58,62,Black,Millets,15,25,53,Urea
21,85,19,Red,Maize,1,46,27,Urea
29,84,39,Red,Pulses,48,49,20,NPK 14-35-14
19,56,35,Clayey,Barley,23,17,34,DAP
20,81,46,Black,Tobacco,49,54,38,NPK 14-35-14
18,86,20,Black,Wheat,6,60,6,NPK 14-35-14
40,56,39,Red,Rice,11,29,27,Urea
21,43,68,Red,Millets,8,39,25,Urea
20,46,32,Sandy,Rice,1,0,33,NPK 10-26-26
28,83,37,Black,Barley,40,14,60,DAP
40,55,32,Clayey,Rice,25,7,47,DAP
34,35,63,Loamy,Millets,37,51,4,MOP
24,79,54,Loamy,Barley,52,40,32,NPK 10-26-26
28,68,52,Loamy,Cotton,13,19,0,NPK 20-20-20
25,41,37,Sandy,Ground Nuts,19,28,3,NPK 10-26-26
27,88,23,Black,Ground Nuts,48,24,4,MOP
20,66,63,Black,Wheat,44,55,42,NPK 14-35-14
26,61,46,Clayey,Ground Nuts,36,7,46,DAP
21,81,50,Black,Soybean,17,45,18,NPK 14-35-14
27,49,76,Black,Pulses,22,41,4,MOP
31,74,59,Clayey,Tobacco,39,34,42,NPK 10-26-26
25,80,25,Black,Millets,41,39,7,MOP
31,36,22,Red,Sugarcane,51,45,7,MOP
40,85,67,Clayey,Wheat,52,31,54,NPK 17-17-17
31,67,50,Red,Barley,60,42,29,NPK 10-26-26
18,38,44,Loamy,Sugarcane,45,42,35,NPK 10-26-26
37,63,79,Sandy,Maize,27,7,40,DAP
18,44,50,Loamy,Pulses,39,44,17,MOP
39,68,59,Red,Soybean,16,30,41,Urea
27,50,70,Black,Barley,38,25,21,NPK 10-26-26
27,57,51,Loamy,Cotton,30,22,57,NPK 10-26-26
21,88,42,Black,Cotton,55,31,8,MOP
29,67,78,Black,Pulses,55,11,59,DAP
18,58,37,Clayey,Soybean,24,0,28,DAP
31,39,50,Black,Pulses,17,26,47,Urea
36,89,55,Black,Millets,16,0,35,NPK 10-26-26
20,65,23,Black,Soybean,18,3,24,NPK 10-26-26
21,89,34,Sandy,Soybean,43,50,12,MOP
21,86,39,Black,Barley,0,5,27,NPK 10-26-26
19,84,78,Loamy,Soybean,35,9,53,DAP
27,59,73,Loamy,Maize,9,0,36,NPK 10-26-26
36,59,58,Loamy,Soybean,14,49,8,NPK 14-35-14
24,55,28,Black,Soybean,43,41,2,MOP
40,47,17,Sandy,Soybean,52,1,30,DAP
40,37,56,Sandy,Wheat,5,42,18,NPK 14-35-14
20,73,66,Black,Sugarcane,33,30,14,MOP
25,68,44,Red,Soybean,20,28,14,MOP
28,51,77,Loamy,Millets,45,11,16,NPK 10-26-26
22,82,37,Black,Barley,23,15,0,NPK 10-26-26
38,39,27,Loamy,Sugarcane,51,46,41,NPK 17-17-17
34,76,30,Clayey,Cotton,3,25,59,Urea
26,81,56,Clayey,Sugarcane,3,12,48,NPK 10-26-26
20,55,55,Sandy,Millets,57,52,55,NPK 17-17-17
30,68,42,Loamy,Pulses,36,41,2,MOP
34,54,72,Sandy,Cotton,8,46,56,Urea
33,62,36,Black,Cotton,3,29,48,Urea
25,54,43,Loamy,Maize,39,56,52,NPK 14-35-14
38,87,79,Loamy,Barley,13,8,56,NPK 10-26-26
22,83,52,Clayey,Tobacco,47,59,33,NPK 14-35-14
35,73,27,Black,Barley,19,45,48,Urea
20,44,49,Loamy,Soybean,16,28,43,Urea
19,82,69,Sandy,Cotton,56,23,34,NPK 10-26-26
33,81,44,Red,Rice,24,58,52,NPK 14-35-14
22,49,24,Black,Tobacco,59,25,29,NPK 10-26-26
35,54,54,Clayey,Barley,58,47,15,MOP
24,58,78,Red,Pulses,6,32,10,NPK 10-26-26
27,76,64,Sandy,Wheat,33,0,18,NPK 10-26-26
28,50,38,Black,Rice,38,54,31,NPK 14-35-14
32,39,28,Black,Sugarcane,37,0,5,NPK 10-26-26
26,36,49,Clayey,Barley,50,29,54,NPK 17-17-17
32,73,50,Clayey,Maize,11,2,43,NPK 10-26-26
29,63,35,Black,Sugarcane,29,34,29,NPK 10-26-26
39,86,71,Sandy,Millets,3,11,17,NPK 20-20-20
20,61,46,Red,Sugarcane,37,34,7,MOP
28,67,63,Sandy,Wheat,4,44,13,NPK 14-35-14
22,35,18,Clayey,Maize,47,1,15,NPK 10-26-26
18,67,17,Loamy,Millets,1,45,28,Urea
18,52,48,Loamy,Pulses,11,50,35,Urea
34,42,69,Black,Millets,28,6,2,NPK 10-26-26
26,74,71,Red,Ground Nuts,45,41,54,NPK 17-17-17
22,85,38,Loamy,Rice,49,32,38,NPK 10-26-26
32,87,26,Loamy,Pulses,36,45,52,NPK 10-26-26
32,57,26,Black,Rice,26,12,55,DAP
20,53,37,Black,Millets,3,19,37,NPK 10-26-26
34,66,51,Loamy,Tobacco,51,30,43,NPK 17-17-17
30,43,63,Loamy,Wheat,40,6,52,DAP
29,51,43,Black,Soybean,6,57,35,Urea
20,43,33,Black,Pulses,44,28,22,NPK 10-26-26
19,68,28,Sandy,Maize,37,5,45,DAP
28,47,37,Clayey,Sugarcane,29,5,15,NPK 10-26-26
28,52,40,Red,Cotton,27,24,13,MOP
27,65,79,Loamy,Ground Nuts,36,45,4,MOP
31,43,54,Sandy,Millets,30,29,5,MOP
33,50,65,Sandy,Wheat,58,0,21,DAP
36,68,23,Black,Sugarcane,5,18,17,NPK 20-20-20
27,56,38,Loamy,Soybean,21,36,4,MOP
28,76,25,Clayey,Cotton,58,4,6,NPK 10-26-26
36,50,23,Red,Maize,10,57,16,NPK 14-35-14
21,49,79,Sandy,Maize,49,25,9,MOP
33,67,57,Black,Rice,13,37,43,Urea
39,52,15,Black,Sugarcane,11,12,14,NPK 20-20-20
32,74,19,Loamy,Barley,9,42,59,Urea
31,67,50,Loamy,Maize,7,12,23,NPK 10-26-26
20,62,57,Red,Tobacco,6,33,16,NPK 10-26-26
34,45,69,Loamy,Rice,11,0,30,NPK 10-26-26
28,43,55,Sandy,Wheat,13,42,23,Urea
39,53,67,Loamy,Wheat,17,9,12,NPK 20-20-20
34,65,56,Loamy,Sugarcane,46,7,33,DAP
37,89,34,Loamy,Ground Nuts,35,58,41,NPK 14-35-14
40,42,17,Clayey,Pulses,11,28,31,Urea
38,58,54,Black,Barley,45,28,59,NPK 17-17-17
38,69,53,Black,Pulses,56,45,11,MOP
19,85,23,Sandy,Pulses,32,6,7,NPK 10-26-26
18,53,72,Loamy,Pulses,56,57,59,NPK 17-17-17
33,56,49,Sandy,Sugarcane,33,60,40,NPK 14-35-14
35,58,56,Loamy,Wheat,9,27,43,Urea
28,35,42,Clayey,Wheat,58,7,55,DAP
33,66,57,Red,Pulses,45,40,33,NPK 10-26-26
33,58,15,Black,Tobacco,24,36,56,NPK 10-26-26
26,70,65,Sandy,Rice,20,20,20,NPK 10-26-26
25,72,51,Red,Ground Nuts,43,18,53,DAP
26,72,53,Black,Pulses,54,43,58,NPK 17-17-17
29,70,76,Sandy,Tobacco,5,3,21,NPK 10-26-26
38,60,55,Sandy,Rice,49,13,22,DAP
28,38,31,Black,Sugarcane,55,38,46,NPK 17-17-17
22,41,27,Red,Pulses,12,23,5,NPK 10-26-26
33,59,33,Loamy,Ground Nuts,58,49,20,NPK 10-26-26
38,56,43,Black,Cotton,0,12,56,NPK 10-26-26
29,70,52,Black,Cotton,35,21,45,NPK 10-26-26
28,77,37,Red,Cotton,26,56,28,NPK 14-35-14
34,59,62,Red,Sugarcane,44,56,26,NPK 14-35-14
32,41,70,Black,Barley,1,53,53,Urea
35,82,19,Black,Ground Nuts,36,28,16,MOP
36,61,29,Black,Barley,23,55,41,NPK 14-35-14
26,57,63,Loamy,Barley,38,17,4,NPK 10-26-26
40,66,62,Clayey,Cotton,10,44,43,Urea
23,88,49,Loamy,Rice,5,60,30,Urea
28,50,38,Clayey,Soybean,19,19,32,NPK 10-26-26
25,86,25,Clayey,Ground Nuts,56,13,48,DAP
24,37,28,Black,Wheat,48,53,43,NPK 14-35-14
35,72,15,Red,Rice,53,38,58,NPK 17-17-17
40,55,71,Loamy,Ground Nuts,7,23,53,Urea
35,37,34,Sandy,Cotton,52,13,48,DAP
24,42,16,Red,Tobacco,33,21,47,NPK 10-26-26
34,86,63,Red,Sugarcane,2,3,28,NPK 10-26-26
18,36,35,Black,Maize,11,39,39,Urea
37,47,40,Clayey,Cotton,18,59,13,NPK 14-35-14
36,74,56,Clayey,Barley,1,10,5,NPK 20-20-20
18,48,43,Clayey,Wheat,27,24,16,MOP
27,36,48,Sandy,Soybean,35,26,52,NPK 10-26-26
19,65,79,Clayey,Ground Nuts,26,57,14,MOP
40,53,71,Sandy,Cotton,48,42,23,NPK 10-26-26
23,72,31,Clayey,Wheat,59,18,35,DAP
35,44,28,Red,Millets,49,15,29,DAP
40,40,59,Sandy,Barley,21,23,23,NPK 10-26-26
37,81,48,Red,Ground Nuts,4,21,58,Urea
28,36,75,Loamy,Ground Nuts,48,59,49,NPK 14-35-14
25,39,43,Red,Ground Nuts,31,3,22,DAP
28,47,26,Red,Wheat,31,14,0,NPK 10-26-26
25,90,45,Sandy,Wheat,31,2,4,NPK 10-26-26
24,68,49,Red,Ground Nuts,31,47,14,MOP
27,47,80,Loamy,Barley,59,16,27,DAP
28,88,51,Black,Cotton,19,1,12,NPK 20-20-20
25,84,50,Loamy,Wheat,15,53,10,NPK 14-35-14
22,57,44,Sandy,Rice,24,30,53,NPK 10-26-26
26,35,76,Loamy,Tobacco,10,21,40,Urea
22,83,62,Black,Barley,26,57,13,MOP
31,78,51,Red,Tobacco,20,15,31,DAP
40,63,45,Red,Ground Nuts,38,13,6,NPK 10-26-26
30,65,29,Loamy,Pulses,51,59,29,NPK 14-35-14
38,71,56,Clayey,Soybean,53,27,18,MOP
22,40,49,Black,Barley,24,2,28,DAP
37,52,80,Black,Maize,26,42,30,NPK 14-35-14
29,38,56,Black,Sugarcane,39,51,6,MOP
28,59,42,Loamy,Barley,10,18,0,NPK 20-20-20
31,64,57,Black,Rice,54,11,29,DAP
39,68,77,Clayey,Sugarcane,11,20,54,Urea
19,65,77,Loamy,Millets,11,6,24,NPK 10-26-26
30,77,21,Black,Sugarcane,35,57,17,MOP
36,59,67,Red,Maize,54,36,10,MOP
31,74,60,Black,Pulses,44,28,0,MOP
24,54,40,Loamy,Soybean,39,27,34,NPK 10-26-26
22,67,43,Sandy,Sugarcane,16,50,55,Urea
30,55,65,Loamy,Cotton,34,30,11,MOP
35,48,18,Clayey,Barley,9,21,54,Urea
23,73,37,Sandy,Tobacco,58,4,14,NPK 10-26-26
40,39,18,Sandy,Rice,47,8,46,DAP
34,87,48,Loamy,Barley,56,26,31,NPK 10-26-26
30,49,23,Clayey,Ground Nuts,57,51,40,NPK 17-17-17
22,80,49,Red,Rice,37,2,35,DAP
20,35,44,Black,Barley,25,26,24,NPK 10-26-26
19,66,39,Loamy,Maize,15,21,51,Urea
19,56,56,Black,Wheat,37,59,19,MOP
23,69,70,Red,Ground Nuts,13,60,52,Urea
23,35,22,Black,Cotton,56,53,9,MOP
37,67,17,Clayey,Maize,0,21,0,NPK 10-26-26
23,73,71,Loamy,Rice,24,18,37,DAP
34,84,27,Red,Ground Nuts,34,22,7,MOP
31,78,70,Sandy,Wheat,12,24,45,Urea
29,63,64,Clayey,Ground Nuts,39,26,12,MOP
40,40,39,Clayey,Soybean,48,36,1,MOP
27,63,46,Clayey,Wheat,33,51,9,MOP
35,44,37,Sandy,Wheat,6,10,30,NPK 10-26-26
30,76,80,Red,Millets,16,28,25,Urea
27,35,44,Red,Sugarcane,55,41,51,NPK 17-17-17
35,49,31,Clayey,Wheat,37,0,7,NPK 10-26-26
38,55,37,Black,Rice,4,45,33,Urea
36,61,35,Loamy,Rice,23,35,17,MOP
23,60,49,Clayey,Tobacco,29,35,3,MOP
35,65,20,Red,Ground Nuts,21,57,27,NPK 14-35-14
18,61,37,Sandy,Ground Nuts,52,32,4,MOP
29,52,25,Red,Rice,0,20,30,Urea
24,84,26,Loamy,Millets,49,53,38,NPK 14-35-14
28,81,39,Red,Rice,33,12,2,NPK 10-26-26
